muestra,x,y,theta
0,0.197605,-0.04245,0.018137
1,0.210754,-0.075501,0.04227
2,0.229484,-0.06196,-0.020437
3,0.24102,-0.052107,0.008049
4,0.241653,-0.040674,-0.019761
5,0.240238,-0.035259,0.007941
6,0.237051,-0.035206,0.000187
7,0.235282,-0.035265,0.030302
8,0.243649,-0.030532,-0.004669
9,0.229476,-0.032909,0.019675
10,0.230119,-0.035273,0.032431
11,0.230855,-0.041695,0.03904
12,0.242002,-0.0547,0.056544
13,0.240171,-0.039478,-0.015133
14,0.237216,-0.035209,0.000203
15,0.24027,-0.027944,0.015152
16,0.224558,-0.025387,0.012005
17,0.221018,-0.023167,0.00529
18,0.231708,-0.029841,-0.005898
19,0.228854,-0.030824,0.016084
20,0.238736,-0.025507,-0.021363
21,0.22945,-0.032055,0.029168
22,0.225129,-0.030232,0.017157
23,0.232128,-0.03006,0.038459
24,0.242597,-0.020572,0.03042
25,0.235474,-0.020768,-0.013594
26,0.156404,-0.025138,0.032666
27,0.233713,-0.028208,-0.011915
28,0.245504,-0.029074,0.027723
29,0.213444,-0.027238,0.061098
30,0.244237,-0.023049,0.012251
31,0.248975,-0.020519,0.013529
32,0.240078,-0.019582,0.014338
33,0.253522,-0.02652,0.041249
34,0.252197,-0.027431,0.027272
35,0.248257,-0.032252,0.022245
36,0.240277,-0.02688,0.00697
37,0.248674,-0.023661,-0.023873
38,0.234093,-0.029172,0.00679
39,0.239796,-0.027115,0.016746
40,0.235793,-0.036513,0.027771
41,0.217821,-0.035974,0.0133
42,0.242142,-0.040317,0.044918
43,0.230274,-0.035054,0.034667
44,0.242531,-0.035457,0.030022
45,0.239818,-0.030351,-0.008023
46,0.233378,-0.035793,0.036437
47,0.139407,-0.034006,0.023968
48,0.229374,-0.031259,0.007451
49,0.224199,-0.038459,0.062564
50,0.230168,-0.035266,0.032379
51,0.187486,-0.043855,0.076
52,0.17191,-0.040596,0.045891
53,0.228434,-0.031143,0.002688
54,0.241401,-0.030906,0.001499
55,0.230006,-0.035289,0.028603
56,0.227536,-0.031967,0.019384
57,0.230275,-0.029931,0.024683
58,0.228921,-0.022062,-0.001499
59,0.242045,-0.015467,-0.02351
60,0.240385,-0.010252,-0.017853
61,0.240447,-0.003988,-0.018469
62,0.238694,-0.012972,-0.022477
63,0.145979,-0.028738,0.029081
64,0.221617,-0.028505,0.027277
65,0.224694,-0.027512,0.01224
66,0.228477,-0.026054,0.011639
67,0.23017,-0.023672,-0.007392
68,0.243176,-0.030543,0.051116
69,0.2498,-0.027204,0.018272
70,0.240294,-0.0278,0.021591
71,0.230505,-0.02901,0.037621
72,0.237326,-0.031426,0.054079
73,0.220543,-0.026226,0.015274
74,0.230902,-0.028444,0.028953
75,0.227729,-0.025187,0.005053
76,0.236973,-0.031376,0.055374
77,0.23017,-0.023672,-0.007392
78,0.217599,-0.030411,0.045475
79,0.221121,-0.025319,0.005676
80,0.232441,-0.023336,-0.010138
81,0.219393,-0.02885,0.035065
82,0.237449,-0.026571,0.016696
83,0.229392,-0.027818,0.028643
84,0.219393,-0.02885,0.035065
85,0.219393,-0.02885,0.035065
86,0.219393,-0.02885,0.035065
87,0.222887,-0.030056,0.046669
88,0.226218,-0.023191,-0.008317
89,0.242198,-0.031406,0.055932
90,0.229464,-0.02656,0.018925
91,0.232009,-0.032543,0.063265
92,0.228706,-0.027427,0.02568
93,0.238137,-0.027216,0.021306
94,0.239655,-0.023508,-0.00566
95,0.248387,-0.026412,0.012639
96,0.220543,-0.026226,0.015274
97,0.246388,-0.023525,-0.008498
98,0.229454,-0.027266,0.020732
99,0.221121,-0.025319,0.005676
